date,name,desc
2016-05-27,JOBCRYPTER UPDATE,A modified variant of the JobCrypter ransomware discovered. Uses the .css extension.
2016-06-01,JUICYLEMON RANSOMWARE DISCOVERED,New sample telling victims to send email to support@juicylemon.biz for instructions. Demands 1000 Euros.
2016-06-01,CRYPTXXX MORPHS INTO ULTRACRYPTER,Multiple design tweaks of ransom notes and payment page. Decryptor now called UltraDeCrypter.
2016-06-01,GOOD NEWS: BADBLOCK DECRYPTED,"The BadBlock strain, which cripples both data files and Windows EXEs, is decrypted courtesy of Emsisoft."
2016-06-02,ANOTHER JIGSAW VARIANT EMERGES,This descendant of the Jigsaw ransomware displays NSFW wallpaper and uses the .paybtc extension.
2016-06-03,BLACK SHADES CRYPTER WANTS A SMALL RANSOM,"Targets English and Russian-speaking users, appends the .silent extension and demands $30."
2016-06-04,HERBST RANSOMWARE TARGETING GERMAN USERS,"This sample uses symmetric AES cryptosystem, appends the .herbst extension to files and extorts $50."
2016-06-05,RUSSIAN RANSOMWARE CALLED CRIPTOKOD,"Attacks Russian-speaking audience, adds the .criptokod extension to locked files. Decryptable for free."
2016-06-06,MULTIPLE JIGSAW RANSOMWARE SPINOFFS DISCOVERED,"New Jigsaw variants use the .paymst, .payms, .pays, .paym, .paymrs, .payrms and .paymts extensions."
2016-06-06,CRYSIS RANSOMWARE FAMILY EXPANDED,Another Crysis ransomware offspring appends files with the .centurion_legion.aol.com.xtbl extension.
2016-06-07,CRYSIS PLAGUE RUNS RAMPANT,"According to a research by ESET, the Crysis ransomware is gaining momentum with cybercrooks."
2016-06-09,NEMUCOD TROJAN SCRAMBLES FILES USING PHP,Researchers defeat a new iteration of the Nemucod ransomware that uses the .crypted extension.
2016-06-10,CISCO CREATES A UNIVERSAL TESLACRYPT DECODER,Cisco\u2019s Talos Group releases a tool that decrypts all known versions of the TeslaCrypt ransomware.
2016-06-11,CRYPTXXX RANSOMWARE TWEAK,New CryptXXX (UltraCrypter) version labels encrypted entries with the .cryptz extension.
2016-06-13,APOCALYPSE RANSOMWARE DECRYPTED,"Emsisoft researcher tailors a decryptor for Apocalypse ransomware, which uses the .encrypted extension."
2016-06-13,JAVASCRIPT-BASED RAA RANSOMWARE,"Built with JavaScript, the RAA ransomware (.locked extension) also installs the Pony password stealer."
2016-06-13,FLOCKER ATTACKS ANDROID GADGETS,"The FLocker pest targets Android devices, including Smart TV, and extorts $200 worth of iTunes gift cards."
2016-06-16,DED CRYPTOR BASED ON EDA2 PROOF-OF-CONCEPT,"Affixes the .ded extension to files, imposes email interaction with the attacker and demands 2 BTC."
2016-06-17,JIGSAW OFFSPRING PAYS HOMAGE TO THE ANONYMOUS,The Anonymous themed Jigsaw ransomware variant concatenates the .epic string to scrambled files.
2016-06-17,DR.JIMBO@BK.RU RANSOMWARE SETS A DEADLINE,Instructs victims to reach the devs via email within 48 hours otherwise threatens to erase files.
2016-06-17,CRYPT38 RANSOMWARE WITH WEAK CRYPTO,"Targets Russian users, appends .crypt38 to files and asks for $15 in Rubles. Free decryptor released."
2016-06-17,POTENTIALLY DECRYPTABLE CRYPTOSHOCKER,New sample using AES algorithm and appending the .locked extension. Experts found a workaround.
2016-06-20,LOCKY DISTRIBUTION BACKED BY NECURS BOTNET,"New Locky proliferation campaign discovered, leverages the Necurs botnet to generate harmful spam."
2016-06-20,DECRYPTOR FOR APOCALYPSEVM RELEASED,Researchers create a decryptor for ApocalypseVM ransomware that uses advanced anti-VM features.
2016-06-20,RUSSIAN USERS TARGETED BY KOZY.JOZY PEST,Uses asymmetric RSA crypto. Victims are instructed to email the attacker at kozy.jozy@yahoo.com.
2016-06-21,"CRYPTOROGER, A NEW SAMPLE OUT THERE","Employs AES algo, uses the .crptrgr extension and creates !Where_are_my_files!.html ransom note."
2016-06-21,CRYPTXXX ADDS RANDOMNESS TO THE MIX,CryptXXX ransomware starts appending random 5-char extension to files instead of .crypz.
2016-06-22,ZIMBRA RANSOMWARE ENCRYPTS EMAILS,Python-based strain. Targets the Zimbra open-source email platform. Ransom amounts to 3 BTC.
2016-06-22,NEW APOCALYPSE SPINOFF DISCOVERED AND DECRYPTED,Appends the .SecureCrypted extension. Emsisoft Apocalypse Decryptor updated to restore files.
2016-06-23,TOWERWEB@YANDEX.COM RANSOMWARE,Tells victims to email the dev at towerweb@yandex.com for instructions. Demands $100 worth of Bitcoin.
2016-06-23,"KRATOSCRYPT, A HIDDEN TEAR SPINOFF",Ransomware based on open-source educational code. Concatenates the .kratos extension to files.
2016-06-25,BART RANSOMARE DOESN’T ACTUALLY UTILIZE CRYPTO,Stores files in password-protected ZIP folder rather than encrypt them. Demands 3 BTC.
2016-06-25,SATANA BOOTKIT IS DOUBLE TROUBLE,Encrypts files and wreaks havoc with Master Boot Record. Displays a lock screen asking for 0.5 BTC.
2016-06-26,THE DIDACTIC EDUCRYPT RANSOMWARE,Locks victims\u2019 personal data but doesn\u2019t request a ransom. Decrypt password available in a hidden .txt file.
2016-06-27,ZEPTO EDITION OF LOCKY RANSOMWARE,New Locky variant appends the 
2016-06-28,MONEY-HUNGRY MICROCOP INFECTION,Uses DES (Data Encryption Standard) and requests an astounding 48.48 BTC. Decrypted by analysts.
2016-06-28,SHADE RANSOMWARE TWEAK,New Shade iteration switches from using the .da_vinci_code to .Windows10 extension.
2016-06-29,AVG DEVISES DECRYPTORS FOR SIX RANSOMWARE STRAINS,"The tools restore files scrambled by TeslaCrypt, Apocalypse, BadBlock, Crypt888, Legion, and SZFLocker."
2016-06-30,UNLOCK92 RANSOMWARE,Targerts Russian-speaking audience. Email for interaction: unlock92@india.com. Decryptable for free.
2016-06-30,EMERGENCE OF WILDFIRE LOCKER,A likely Zyklon copycat. Circulates mostly in the Netherlands and Belgium. Appends the .wflx extension.
2016-07-03,ALFA RANSOMWARE DISCOVERED,"Alfa, aka Alpha, ransomware uses the .bin extension and appears to be created by Cerber devs."
2016-07-03,NEW APOCALYPSE VARIANT DECRYPTED,Emsisoft\u2019s decryptor now handles the .bleepYourFiles version of the Apocalypse ransomware.
2016-07-06,ANOTHER CRYPTXXX RANSOMWARE UPDATE,"New edition creates README.html (.bmp, .txt) ransom notes and upsells a tool called \u201cMicrosoft Decryptor\u201d."
2016-07-06,THE BUGGY CRYPTOFINANCIAL SPECIMEN,Requests 0.2 BTC to unlock files but irreversibly deletes the data instead.
2016-07-07,BITSTAK RANSOMWARE WITH WEAK CRYPTO,Appends the .bitstak extension to scrambled files. Researcher named Michael Gillespie created a decryptor.
2016-07-07,PIZZACRYPTS PROPAGATING VIA NEUTRINO EXPLOIT KIT,Uses the .id-[unique_victim_id]-maestro@pizzacrypts.info extension to brand all encoded files.
2016-07-08,THE PADCRYPT CAMPAIGN REVIVES,"Having stayed dormant for several months, the PadCrypt ransomware (.padcrypt extension) re-emerges."
2016-07-09,UNLOCK92 ENCRYPTION ENHANCEMENTS,"New variant uses RSA-2048 cryptosystem, cannot be decrypted. Appends the .CCCRRRPPP extension."
2016-07-11,A LAME CTB-LOCKER COPYCAT APPEARS,Sample dubbed CTB-Faker moves files to a password-protected ZIP archive. Potentially crackable.
2016-07-11,ODCODC RANSOMWARE FINALLY DEFEATED,Researcher going by the handle BloodDolly came up with a method to decrypt ODCODC-encoded files.
2016-07-12,NEW XORIST VERSION POSES AS CERBER,"Although this sample uses the .cerber extension, it\u2019s a mere copycat. Doesn\u2019t link to Tor decryptor page."
2016-07-13,WILDFIRE LOCKER ON THE RISE,"According to OpenDNS, there is an upswing in WildFire Locker distribution via the Kelihos botnet."
2016-07-13,LOW-COST STAMPADO RANSOMWARE FOR SALE,Appends the .locked extension. Criminals can buy a copy on the dark web for as little as $39.
2016-07-14,DECRYPTION KEYS GIVEAWAY BY CRYPTXXX DEVS,"For whatever reason, CryptXXX Tor payment sites provide free keys to decrypt .cryp1 and .crypz files."
2016-07-18,PETYA RANSOMWARE UPDATED,Petya authors improved their Salsa20 algo implementation to encrypt Master File Table more reliably.
2016-07-19,CRYPTXXX BADLY CRIPPLES FILENAMES,A fresh edition of CryptXXX replaces filenames with 32 hex characters and appends random extensions.
2016-07-20,PYTHON-BASED HOLYCRYPT RANSOMWARE,"Written in Python, the HolyCrypt sample installs all components as a single Windows executable."
2016-07-20,AUTOMATIC ODCODC DECRYPTOR RELEASED,ODCODC ransomware victims can now use an automatic free decryptor. The infection\u2019s C&C server is dead.
2016-07-21,AVG CRACKS THE BART RANSOMWARE,Free recovery tool by AVG allows Bart ransomware victims to crack the ZIP archive password.
2016-07-21,POWERWARE IS NOTHING BUT A LOCKY COPYCAT,PowerWare ransomware masquerades itself as Locky. Decryptor available courtesy of Michael Gillespie.
2016-07-22,STAMPADO RANSOMWARE DECRYPTED,Emsisoft team member Fabian Wosar created a free decrypt tool for the relatively new Stampado pest.
2016-07-25,"CRYPMIC, A CRYPTXXX LOOKALIKE",CrypMIC bears a strong resemblance to CryptXXX. Researchers provide a comparative review of the two.
2016-07-25,SIMPLE_ENCODER APPENDS FILENAMES WITH A TILDE,New sample. Uses the .~ file extension and creates _RECOVER_INSTRUCTIONS.ini ransom note.
2016-07-25,THE NOMORERANSOM PROJECT GOES LIVE,A true breakthrough in fighting ransomware. Created by law enforcement agencies and security companies.
2016-07-26,CHIMERA RANSOMWARE DECRYPTION KEYS RELEASED,Petya and Mischa ransomware authors publish about 3500 decryption keys for a strain called Chimera.
2016-07-26,JANUS RAAS BECOMES OPEN TO WANNABE CRIMINALS,Crooks behind Petya and Mischa make their Ransomware-as-a-Service platform available to the public.
2016-07-26,THE SHORT-LIVED JAGER RANSOMWARE,Incremental ransom size starting with $100 worth of Bitcoin. C&C server went down shortly after launch.
2016-07-28,UYARI RANSOMWARE GOES AFTER TURKISH USERS,Appends the .locked extension to scrambled items. Ransom notes in Turkish asking for 2 BTC.
2016-07-29,JIGSAW FAMILY KEEPS EXPANDING,\u201cWe Are Anonymous\u201d Jigsaw ransomware variant with a new warning background. Decryptable.
2016-07-29,KASPERSKY’S DECRYPT TOOL UPDATED,RakhniDecryptor solution by Kaspersky Lab decrypts Chimera-locked files with the keys previously leaked.
2016-07-31,THE RAZY RANSOMWARE PREDICAMENT,"New strain, uses AES crypto and concatenates the .razy extension. Even the devs cannot decrypt files."
2016-08-01,LOCKY VARIANT USES BOOBY-TRAPPED WSF ATTACHMENTS,The Zepto version of Locky ransomware circulates via malware-tainted WSF email attachments.
2016-08-03,"SHINOLOCKER, A NEW PROOF-OF-CONCEPT",Japanese researcher creates educational ransomware called ShinoLocker. Another controversial initiative.
2016-08-03,ASTONISHING SURVEY RESULTS,"50% of U.S. companies were targeted by ransomware in the past 12 months, Osterman Research reveals."
2016-08-04,CERBER RANSOMWARE 2.0 RELEASED,Switches to .cerber2 extension and uses a new desktop background. Ransom notes unaltered.
2016-08-04,"VENUS LOCKER, AN EDA2 SPINOFF",The EDA2 PoC gave birth to a new real-world strain. Uses AES-256 standard and appends .venusf extension.
2016-08-08,HITLER-RANSOMWARE DISCOVERED,Buggy sample that deletes extensions rather than encrypt files. Demands a 25 Euros worth Vodafone card.
2016-08-09,REKTLOCKER BASED ON EDUCATIONAL HIDDEN TEAR,Uses open-source Hidden Tear code with some modifications. Appends files with the .rekt extension.
2016-08-10,RANSOMWARE ON IOT DEVICES,Researchers demonstrate a viable ransomware hitting thermostats at the DEFCON event.
2016-08-11,"SMRSS32 RANSOMWARE, A CRYPTOWALL COPYCAT",Impostor pretending to be 
2016-08-12,PIZZACRYPTS AND JUICYLEMON DECRYPTED,Ransomware analyst nicknamed BloodDolly creates a free decryptor for PizzaCrypts and JuicyLemon strains.
2016-08-12,POKEMONGO TROJAN DROPS ARABIC RANSOM NOTES,Appends the .locked extension. Creates a backdoor Windows user account (Hack3r) for future PC access.
2016-08-14,TORRENTLOCKER TARGETS ITALIAN VICTIMS,Aka Crypt0L0cker. Uses the .enc file extension. Infects computers via rogue energy bills sent over email.
2016-08-15,THE SHARK RANSOMWARE-AS-A-SERVICE,New RaaS platform that allows for extensive ransomware customization. Devs get 20% revenue cut.
2016-08-16,CERBER RANSOMWARE DECRYPTION INITIATIVE,Check Point 
2016-08-16,CERBER RAAS REVENUE UNCOVERED,"According to an investigative research, Cerver devs\u2019 annual revnue is on the order of $1 million."
2016-08-16,NEW STRAIN TARGETING KOREAN VICTIMS,Based on the educational Hidden Tear code. Apparent ties to the CripMIC ransomware discovered.
2016-08-16,APOCALYPSE RANSOMWARE AUTHORS GET UPSET,The crooks keep insulting Fabian Wosar who cracks every new edition of the pest.
2016-08-17,CERBER DEVS PATCH FLAWS,Threat actors behind Cerber ransomware make Check Point\u2019s automatic decryptor inefficient.
2016-08-17,SMRSS32 RANSOMWARE DECRYPTED,Researchers release a free decrypt tool for the Smrss32.exe ransomware.
2016-08-18,FSOCIETY RANSOMWARE DISCOVERED,An EDA2 spinoff. Sets a Mr. Robot TV series themed wallpaper with Fsociety hacking group logo.
2016-08-18,BART RANSOMWARE SWITCHES TO REAL CRYPTO,Starts to actually encrypt files and append the .bart extension rather than simply password-protect them.
2016-08-19,DETOXCRYPTO MIMICKING POKEMONGO FOR WINDOWS,Payload pretends to be PokemonGO game. Takes a screenshot of Windows screen for intimidation purpose.
2016-08-22,ALMA LOCKER USES RANDOM 5-CHAR EXTENSION,Distributed via RIG exploit kit. Uses Tor C&C server. Ransom of 1 BTC to be submitted during 5 days.
2016-08-23,ANOTHER CTB-LOCKER LOOKALIKE SURFACES,"Another CTB-Locker copycat, uses a similar ransom note and color scheme. Demands 0.5 BTC."
2016-08-24,THE PURGE MOVIE-THEMED GLOBE RANSOMWARE,Desktop wallpaper styling pays homage to the Purge movies. Appends the .purge extension to files.
2016-08-24,WILDFIRE LOCKER TAKEDOWN,Dutch police and NHTCU agency seize WildFire Locker ransomware\u2019s C&C server. Free decryptor released.
2016-08-24,ALMA LOCKER DECRYPTION OPTIONS,"According to PhishLabs, Alma Locker\u2019s private key can be obtained with network sniffer during the attack."
2016-08-25,FANTOM RANSOMWARE RUNS A FAKE WINDOWS UPDATE,New strain based on EDA2. Displays a bogus Windows update screen to obfuscate the encryption process.
2016-08-26,DOMINO RANSOMWARE POSING AS KMSPICO,Based on educational Hidden Tear code. Payload disguised as KMSPico Windows crack.
2016-08-26,LOCKY SWITCHES TO DLL INSTALLER TO AVADE AV,The Zepto alias of Locky ransomware begins leveraging a DLL installer rather than an executable to spread.
2016-08-26,SMRSS32 RANSOMWARE USES U.S. ELECTION SPAM,New Smrss32 spam campaign delivering files masqueraded as U.S. Election news.
2016-08-26,THE SERPICO VERSION OF DETOXCRYPTO,Targets uses in Serbia and Croatia. Doesn\u2019t modify filenames. Requests 50 EUR for decryption.
2016-08-29,"FAIRWARE RANSOMWARE, A THREAT TO LINUX USERS","Adversaries compromise Linux servers, erase web folders and extort 2 BTC for recovery."
2016-08-29,RAA RANSOMWARE APPEARS IN THE WILD,Instructs victims to send email to raaconsult@mail2tor.com for decryption steps.
2016-08-30,THE CURIOUS CASE OF FABIANSOMWARE,Apocalypse ransomware devs name their new variant \u201cFabiansomware\u201d to insult researcher Fabian Wosar.
2016-08-31,CERBER SWITCHES TO USING A NEW EXTENSION,New edition of the Cerber ransomware concatenates the .cerber3 extension to locked files.
2016-08-31,REDIS SERVERS HACKED TO INSTALL RANSOMWARE,Crooks reportedly used insecure Redis servers to infect Linux machines with the Fairware ransomware.
2016-08-31,STAMPADO STARTS SCRAMBLING FILENAMES,New Stampado variant replaces filenames with hexadecimal chars and uses the .locked extension.
2016-09-01,THE NULLBYTE RANSOMWARE FAIL,Pretends to be a PokemonGO bot app. Demands 0.1 BTC. Decrypted by Michael Gillespie.
2016-09-01,NEW CRYLOCKER IMPERSONATES A FAKE ORGANIZATION,Acts on behalf of inexistent Central Security Treatment Organization. Appends the .cry extension
2016-09-05,CRYLOCKER DETAILS REVEALED,CryLocker propagates via Sundown exploit kit and sends victims\u2019 details to its C2 server over UDP.
2016-09-06,LOCKY SWITCHES TO AUTOPILOT MODE,New Locky samples go with built-in RSA keys and don\u2019t communicate with C&C servers.
2016-09-06,NO ACTUAL CRYPTO BY THE RARVAULT RANSOMWARE,"Targets Russian users. Moves files to password-protected RAR archive, creates RarVault.htm ransom note."
2016-09-07,KAWAIILOCKER GOES AFTER RUSSIAN-SPEAKING AUDIENCE,Hits Russian victims. Creates \u201cHow Decrypt Files.txt\u201d ransom manual. Free decryptor released.
2016-09-08,PHILADELPHIA RANSOMWARE SPOTTED IN THE WILD,New Stampado version sold on the darknet for $400. Features a Mercy button.
2016-09-08,FLYPER RANSOMWARE POPS UP,Appends the .locked extension and requests 0.5 BTC. Attacker\u2019s email address is flyper01@sigaint.org.
2016-09-09,PYTHON-BASED CRYPY THREAT,"Uses AES encryption, adds the .cry extension and drops README_FOR_DECRYPT.txt help file."
2016-09-10,PHILADELPHIA RANSOMWARE DECRYPTED,Emsisoft\u2019s Fabian Wosar creates a free decryptor for the Philadelphia pest.
2016-09-10,CROOKS FORGE SUPPORT FOR THE HOMELESS,New Crysis ransomware rips users off under the guise of helping the homeless.
2016-09-12,NOOBCRYPT TURNS OUT TO BE A LAME SAMPLE,"New ransomware, uses the same set of crypto keys for all victims. Decryption keys published by analysts."
2016-09-12,"LOCKLOCK, ANOTHER EDA2 SPINOFF","Leverages AES-256 algo, appends the .locklock extension to files and creates READ_ME.txt ransom note."
2016-09-14,NEW RAAS CALLED ATOM,Shark RaaS rebranded as the Atom Ransomware Affiliate Program. Available on the public Internet.
2016-09-14,STAMPADO DECRYPTOR UPDATED,Fabian Wosar releases a decrypt tool handling new variants of the Stampado ransomware.
2016-09-14,LOCKY PERSEVERES WITH OFFLINE ENCRYPTION,Locky ransomware\u2019s autopilot crypto gets improved to prevent AV detection.
2016-09-15,STAMPADO ENCRYPTS WHAT’S ALREADY ENCRYPTED,"New version encrypts files that were locked by other ransomware strains, so it\u2019s double trouble."
2016-09-15,RAZY RANSOMWARE MIMICKS JIGSAW WARNING STYLE,Razy asks for 10 EUR worth PaySafeCard to unlock files. Ransom screen resembles one by Jigsaw ransomware.
2016-09-15,FANTOM RANSOMWARE UPDATE,"New edition can encrypt data offline, similarly to Locky. Now targets network shares."
2016-09-17,FENIXLOCKER AUTHOR SPAWNS LOVE NOTES,FenixLocker ransomware dev found to leave the \u201cFenixIloveyou!!\u201d message in each encrypted file.
2016-09-18,HDDCRYPTOR REWRITES MASTER BOOT RECORD,A highly dangerous sample that locks victims out of their computers by overwriting MBR.
2016-09-18,FENIXLOCKER DECRYPTED,"Emsisoft releases a free decrypt tool for FenixLocker, which adds secret mash notes to encrypted files."
2016-09-21,FANTOM RANSOMWARE TWEAKS,New iteration sets desktop wallpapers randomly and derives ransom size from payload name.
2016-09-22,STAMPADO AND APOCALYPSE UPDATED AND CRACKED,Fabian Wosar stays busy upsetting ransomware makers with his updated free decryptors.
2016-09-22,LOCKY OPTS OUT OF OFFLINE-ONLY MODE,"New Locky samples switch back to using C&C infrastructure for encryption, according to Avira."
2016-09-22,CERBER CIRCULATION GROWTH,"A major increase in Cerber ransomware distribution: daily infections reach 80,000."
2016-09-23,CYBER SPLITTER VBS RANSOMWARE DISCOVERED,"Spotted by GData, Cyber SpLiTTer Vbs asks for 1 BTC but fails to actually encrypt any files."
2016-09-23,UNBLOCKUPC RANSOMWARE SURFACES,"New sample, drops \u201cFiles encrypted.txt\u201d ransom manual and demands 0.18 BTC for decryption."
2016-09-24,"MARSJOKE, ONE MORE CTB-LOCKER COPYCAT",Bears a strong resemblance to CTB-Locker. Mainly targets U.S. governmental and educational institutions.
2016-09-24,NAGINI RANSOMWARE FOLLOWS POP CULTURE,"Warning screen contains an image of Lord Voldemort, an evil character from the Harry Potter films."
2016-09-26,NEW HELP_DCFILE RANSOMWARE,Named after ransom note help_dcfile.txt. Appends files with the .XXX extension.
2016-09-26,THE DONALD TRUMP RANSOMWARE,In-development sample with a photo of Donald Trump on the ransomware GUI.
2016-09-26,LOCKY GIVES BIRTH TO A NEW .ODIN PERSONA,New variant adds the .odin extension to files and creates _HOWDO_text.html/bmp ransom notes.
2016-09-26,DXXD RANSOMWARE FINALLY CRACKED,"Michael Gillespie, aka @demonslay335, creates a decryptor for the DXXD ransom Trojan."
2016-09-26,OPEN-SOURCE RANSOMWARE FOR LINUX,New educational Linux ransomware called CryptoTrooper gets negative feedback from security community.
2016-09-28,PRINCESS LOCKER WANTS TOO MUCH FOR DECRYPTION,"Decryptor page resembles Cerber\u2019s. The ransom is 3 BTC (about $2200), doubles after deadline."
2016-09-28,AL-NAMROOD RANSOMWARE DECRYPTED,Appends the .unavailable extension. Emsisoft creates an automatic decrypt tool for this sample.
2016-09-28,RAZY RANSOMWARE EXPANDS ITS GEOGRAPHY,New version targets German users. Extorts ransom in PaySafeCard. Deadline for payment is 72 hours.
2016-09-29,KASPERSKY DISSECTS BRAZILIAN CYBERCRIME,A write-up by Kaspersky analyzes Brazilian TeamXRat ransomware that targets enterprises and hospitals.
2016-09-29,NUKE RANSOMWARE SPOTTED,New one. Uses the AES standard and creates !!_RECOVERY_instructions _!!.html/txt ransom notes.
2016-09-29,RANSOMWARE MAKER JOINS SECURITY FORUM,Apocalypse ransomware dev starts posting on BleepingComputer forums to insult researcher Fabian Wosar.
2016-09-30,KASPERSKY DECRYPTS MARSJOKE RANSOMWARE,Kaspersky updated their RannohDecryptor solution to so that it can crack the MarsJoke ransomware.
2016-09-30,TREND MICRO BEATS THE GLOBE RANSOMWARE,The Trend Micro Ransomware File Decryptor tool is now capable of decoding the Globe ransomware.
2016-10-01,EMSISOFT CREATES THEIR OWN DECRYPTOR FOR GLOBE,The tool can crack the Blowfish cipher used by the Globe ransomware.
2016-10-01,KILLERLOCKER USES A FRIGHTNING TACTIC,The strain appends files with the .rip extension and displays an image of a spooky clown.
2016-10-02,FSOCIETY LOCKER BETA VERSION DISCOVERED,Concatenates the .realfsociety@sigaint.org.fsociety extension to files and drops fsociety.html ransom note.
2016-10-03,CRYPTOLOCKER 5.1 BASED ON HIDDEN TEAR,Another example of criminals abusing educational ransomware code. No in-the-wild propagation.
2016-10-04,MAJOR CERBER RANSOMWARE UPDATE,New variant adds a random 4-character extension and creates README.hta ransom note.
2016-10-05,"HADES LOCKER, A WILDFIRE LOCKER HEIR","Hades Locker occupies the niche of WildFire Locker, which had been taken down by Dutch law enforcement."
2016-10-06,THE GLOBE RANSOMWARE FAMILY REPLENISHED,"Globe devs release multiple new spinoffs appending the .encrypted, .raid10, and .globe extensions."
2016-10-07,CZECH USERS ENDANGERED BY KOSTYA RANSOMWARE,"Appends the .kostya extension. The ransom of 2,000 CZK (about $78) doubles after 12 hours."
2016-10-08,THE COMRADE CIRCLE RANSOMWARE,Adds the .comrade extension to files and displays RESTORE-FILES![ID] ransom note.
2016-10-10,ENIGMA RANSOMWARE UPDATE,New edition appends the .1txt extension and leaves enigma_info.txt ransom manual.
2016-10-10,DEADLY FOR A GOOD PURPOSE RANSOMWARE,Uses AES-256 algo and requests a Bitcoin equivalent of $500. Configured to encrypt data in 2017.
2016-10-11,VENISRANSOMWARE DISCOVERED,Uses VenisRansom@protonmail.com for communication. Enables RDP and steals passwords.
2016-10-13,FIRST RANSOMWARE WRITTEN IN THE GO LANGUAGE,"Detected as Trojan.Encoder.6491, it appends the .enc extension. Cracked by Doctor Web."
2016-10-13,DXXD VERSION 2 DECRYPTED,Researchers create a decryptor for the 2nd iteration of the DXXD Ransomware.
2016-10-13,NUKE RANSOMWARE UPDATE,New Nuke variant spotted in the wild. Concatenates the .nuclear55 extension to encoded files.
2016-10-14,LOCKYDUMP TOOL RELEASED,"Cisco Talos create LockyDump, a data aggregate with configuration parameters of all Locky versions."
2016-10-14,EXOTIC RANSOMWARE ENCRYPTS EXECUTABLES,"Dev\u2019s handle is EvilTwin. Encrypts all data on target computers, including executable files."
